Company,Email,Status
Saudi Aramco,saempsa_webmaster@aramco.com,
SABIC,Recruitment@sabic.com,
stc,careers@stc.com.sa,
Mobily,jobs@mobily.com.sa,
Mobily,Recruitment@mobily.com.sa,
Marafiq,recruitment@marafiq.com,
Sadara,career@sadara.com,
SATORP,career@satorp.com,
AYTB,humanresources@aytb.com,
AYTB,Recruitment@aytb.com,
NESR,Careers@nesr.com,
McDermott,Recruiting.ksa@mcdermott.com,
Yokogawa Saudi Arabia,HRdepartmental@sa.yokogawa.com,
JGC Saudi Arabia,recruit@jgc.com.sa,
JATCO,hrsaudi@jatco.com.sa,
JATCO,hr@jatco.com.sa,
SLB,armfsrecruiter@slb.com,
Saipem,hrsa@saipem.com,
Saudi Chevron,scphr@saudichevron.com,
Honeywell,MiddleEast@honeywell.com,
BASF,jobs@basf.com,
Accenture,careers@accenture.com,
Wipro,reachus@wipro.com,
Siemens,yasser.al-mahdi@siemens.com,
Almajdouie,jobs@almajdouie.com,
Alfransi,jobs@alfransi.com.sa,
Rawabi Holding,recruitment@rawabiholding.com,
dnata,Careers@dnata.com,
Alesayi Motors,Hr@alesayi_motors.com,
Alarayan,Hr@alarayan.com,
FARM,Recruit@farm.com.sa,
SRACO,Recruitment@sraco.com.sa,
SIDCO,Career@sidco.com.sa,
ATCO,Info@atco.com.sa,
SHADECO,Recruitment@shadeco.com,
Alkafaa,Klc.hr@alkafaa.com,
KBR,Kbr-amcdehr@kbr.com,
Batook,Recruitment@batook.com,
Shawarmer,Career@shawarmer.com,
Archirodon,Hrsupport@archirodon.net,
Bin Ajinah,Jobs@binajinah.com,
Nesma,careers@nesma.com,
Abdulla Fouad,Wadaef2019@abdulla-fouad.com,
Innosoft,Careers@innosoft.sa,
Almarai,Career@almarai.com,
Almarai,recruitment@almarai.com,
Panda,careers@panda.com.sa,
Savola,careers@savola.com,
Saudi Electricity,jobs@se.com.sa,
Saudia,jobs@saudia.com,
Al Rajhi Capital,careers@alrajhi-capital.com,
Alhokair,recruitment@alhokair.com,
Saudi Binladin Group,hr@binladin.com.sa,
Zamil,jobs@zamil.com,
Mobily,IT@mobily.com.sa,
Cristalarabia,info@cristalarabia.com,
Safari,career@safari.com.sa,
Sapac,info@sapac.com.sa,
Aswadgroup,info@aswadgroup.com,
Ipowerweb,support@ipowerweb.com,
Ardco,CV@ardco.com.sa,
Aswadgroup,info@aswadgroup.com,
SIEC,siec@siec.com.sa,
AKTE,careers@akte.com.sa,
Tifajob,tifajob@yahoo.com,
Samir Photo,Mardig@samir-photo.com,
AECL,jobs@aecl.com,
Petrominoils,info@petrominoils.com,
Samir Photo,Chaoul@samir-photo.com,
Almarai,careers@almarai.com,
Kfshrc,mrasing@kfshrc.edu.sa,
AAS,Jobs@aas.com.sa,
UMC,admin@umc.com.sa,
Saudichamber,info@saudichamber.org.sa,
Jatco,hrsaudi@jatco.com.sa,
Natel,natel@natel.com.sa,
Saudifal,admin@saudifal.com.sa,
Mdbio,jkawamoto@mdbio.org,
Alsalamircraft,hrdept@alsalamircraft.com.sa,
Stesa,HRD@stesa.com,
Nasco,jobs@nasco.com.sa,
Econcepts,jobs@econcepts.com.sa,
SAIB,Recruitment@saib.com.sa,
SLS,careersaudi@sls.com.sa,
Acssco,jobs@acssco.com,
Deemah,resumes@deemah.com,
WEC,info@wec.com.sa,
QCC,careers@qcc.com.sa,
Alarkan,info@alarkan.com,
Alharbitelecom,career@alharbitelecom.com,
Areeco,info@areeco.com,
NE,CKT41317@biglobe.ne.jp,
Alrajhibank,cv@alrajhibank.com.sa,
Intertech PAL,intertech@intertech-pal.com,
Alumaco,g_m@alumaco.com,
