Company,Email
Saudi Aramco,saempsa_webmaster@aramco.com
SABIC,Recruitment@sabic.com
stc,careers@stc.com.sa
Mobily,jobs@mobily.com.sa
Mobily,Recruitment@mobily.com.sa
Marafiq,recruitment@marafiq.com
Sadara,career@sadara.com
SATORP,career@satorp.com
AYTB,humanresources@aytb.com
AYTB,Recruitment@aytb.com
NESR,Careers@nesr.com
McDermott,Recruiting.ksa@mcdermott.com
Yokogawa Saudi Arabia,HRdepartmental@sa.yokogawa.com
JGC Saudi Arabia,recruit@jgc.com.sa
JATCO,hrsaudi@jatco.com.sa
JATCO,hr@jatco.com.sa
SLB,armfsrecruiter@slb.com
Saipem,hrsa@saipem.com
Saudi Chevron,scphr@saudichevron.com
Honeywell,MiddleEast@honeywell.com
BASF,jobs@basf.com
Accenture,careers@accenture.com
Wipro,reachus@wipro.com
Siemens,yasser.al-mahdi@siemens.com
Almajdouie,jobs@almajdouie.com
Alfransi,jobs@alfransi.com.sa
Rawabi Holding,recruitment@rawabiholding.com
dnata,Careers@dnata.com
Alesayi Motors,Hr@alesayi_motors.com
Alarayan,Hr@alarayan.com
FARM,Recruit@farm.com.sa
SRACO,Recruitment@sraco.com.sa
SIDCO,Career@sidco.com.sa
ATCO,Info@atco.com.sa
SHADECO,Recruitment@shadeco.com
Alkafaa,Klc.hr@alkafaa.com
KBR,Kbr-amcdehr@kbr.com
Batook,Recruitment@batook.com
Shawarmer,Career@shawarmer.com
Archirodon,Hrsupport@archirodon.net
Bin Ajinah,Jobs@binajinah.com
Nesma,careers@nesma.com
Abdulla Fouad,Wadaef2019@abdulla-fouad.com
Innosoft,Careers@innosoft.sa
Almarai,Career@almarai.com
Almarai,recruitment@almarai.com
Panda,careers@panda.com.sa
Savola,careers@savola.com
Saudi Electricity,jobs@se.com.sa
Saudia,jobs@saudia.com
Al Rajhi Capital,careers@alrajhi-capital.com
Alhokair,recruitment@alhokair.com
Saudi Binladin Group,hr@binladin.com.sa
Zamil,jobs@zamil.com
